i,j,MAPD-test,MSE-test,RMSE-test,R2-test,Slope-test,Loss,MAPD-ind,MSE-ind,RMSE-ind,R2-ind,Slope-ind
69,65,40.547469212128725,6020.986894217082,77.59501848841253,0.948755174696276,0.9714008638966976,0.0624164639812005,32.87271178512179,5589.991013328438,74.7662424716425,0.9503755622027472,1.0271521933962535
74,64,40.56690265725842,5992.992677436005,77.4144216372893,0.9485363999401356,0.9734760372766638,0.0623764951836767,32.41450674025427,6017.613054484586,77.57327538840026,0.9508080373369456,1.02422820605375
78,62,40.73915946930639,6014.403686546512,77.55258658836927,0.9481003360006336,0.9709406038315994,0.0603627621821441,32.6203681877517,5740.132571214706,75.7636626042769,0.9511903125623724,1.0230578650870912
79,33,41.41851071956751,6062.151298162639,77.8598182515387,0.948501757646245,0.9702684713569284,0.0641117597333319,32.871610137395315,5936.754252318628,77.05033583520988,0.9535797953101468,1.0264146866677166
87,50,39.77225920689188,5825.6210018004485,76.32575582200577,0.9495703667897696,0.9721990395727308,0.0615278050809441,31.833667537240075,5523.97715567633,74.32346302263055,0.9510904922484508,1.025880832473093
101,41,40.112654454798346,6054.74872379961,77.81226589554895,0.9489473218760786,0.9707910051645734,0.0602908801079962,32.4380980694522,5723.671107352999,75.6549476726605,0.9504289541985224,1.0195317424155108
110,71,40.616557326166514,6010.554167069176,77.52776384669673,0.9488207998781584,0.9745038812952812,0.0613879708666548,32.522680388710214,5774.741443876284,75.9917195744134,0.9505269081835278,1.02922167322337
134,59,40.67867942593815,6059.638814546614,77.84368191797337,0.9488656075787222,0.9782071880890836,0.0615605623592097,31.93253617264106,5765.559012559235,75.93127822287227,0.950544706787384,1.0294598220794815
140,35,40.5370702355216,5860.924924309031,76.55667785574967,0.9489498060908236,0.970456680372864,0.0641371489235987,32.85073393977149,5503.452186917824,74.18525585935404,0.9517565277827628,1.0266969780863655
144,64,41.40139119100384,5943.722259726574,77.09553981733686,0.9487655397024038,0.9738884940752688,0.0632625892142883,32.849857958857584,5908.933205903006,76.86958570138782,0.9501302693336166,1.029234983006459
