depth,ED490_ADJUSTED
0.0,1.17681
5.0,1.07309
10.0,0.93727
15.0,0.81935
20.0,0.71989
25.0,0.63678
30.0,0.54758
35.0,0.46944
40.0,0.42121
45.0,0.37476
50.0,0.31967
55.0,0.27407
60.0,0.23665
65.0,0.20292
70.0,0.16083
75.0,0.14263
80.0,0.11444
85.0,0.09305
90.0,0.07705
95.0,0.06303
100.0,0.05054
105.0,0.03905
110.0,0.03269
115.0,0.02716
120.0,0.02179
125.0,0.01738
130.0,0.01434
135.0,0.01185
140.0,0.00954
145.0,0.00768
150.0,0.00641
155.0,0.00532
160.0,0.00437
165.0,0.00364
170.0,0.00304
175.0,0.00263
180.0,0.00226
185.0,0.00187
190.0,0.00159
195.0,0.00141
200.0,0.00118
205.0,0.001
210.0,0.00086
215.0,0.00072
220.0,0.00061
225.0,0.00055
230.0,0.00045
235.0,0.0004
240.0,0.00034
245.0,0.00029
250.0,0.00025
