depth,PAR_ADJUSTED
0.0,1400.2588
5.0,883.6455
10.0,669.2207
15.0,534.2936
20.0,441.6274
25.0,371.9295
30.0,306.5327
35.0,267.3162
40.0,235.456
45.0,209.4189
50.0,177.1075
55.0,155.2676
60.0,129.8915
65.0,106.4334
70.0,89.9492
75.0,72.2867
80.0,58.0035
85.0,45.7816
90.0,37.3096
95.0,29.3076
100.0,22.969
105.0,18.3839
110.0,14.3557
115.0,11.2071
120.0,8.3687
125.0,6.5441
130.0,5.29
135.0,3.9667
140.0,3.1476
145.0,2.5544
150.0,2.0831
155.0,1.6536
160.0,1.3472
165.0,1.0955
170.0,0.9087
175.0,0.7418
180.0,0.6202
185.0,0.4973
190.0,0.4154
195.0,0.3438
200.0,0.3045
205.0,0.2416
210.0,0.2101
215.0,0.1835
220.0,0.151
225.0,0.1275
230.0,0.1097
235.0,0.0931
240.0,0.0801
245.0,0.0657
250.0,0.0595
